Origin,Exact source,Cell_Type,Geneset_Enrichment,hs_protein,hs_gene,hs.total.genes,mm_protein,mm_gene,mm.total.genes,DOI
GOBP,GO:0046636,T cell,GOBP_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION,,LILRB1;CD300A;ADORA2A;RC3H1;GLI3;LGALS9B;CD274;TBX21;ANXA1;HFE;HLX;HMGB1;CLEC4G;IHH;IL2;IL4;IL4R;JAK3;ARG2;LGALS9;SMAD7;TARM1;FOXP3;ZBTB7B;RC3H2;TWSG1;BCL6;XCL1;VSIR;SHH;SLC4A2;LGALS9C;TNFSF4;ZC3H12A;NDFIP1;ITCH;LOXL3;RUNX1;RUNX3;CBFB;SOCS1;CBLB;TNFRSF14;TNFSF18;SOCS5,45,,,,
GOBP,GO:0046639,T cell,GOBP_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION,,RC3H1;GLI3;TBX21;ANXA1;HLX;HMGB1;IHH;IL2;IL4;IL4R;JAK3;SMAD7;FOXP3;ZBTB7B;RC3H2;BCL6;SHH;SLC4A2;TNFSF4;ZC3H12A;LOXL3;RUNX1;RUNX3;CBFB;SOCS1;TNFSF18;SOCS5,27,,,,
GOBP,GO:0046642,T cell,GOBP_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION,,LGALS9B;CD274;CLEC4G;ARG2;LGALS9;FOXP3;ZBTB7B;TWSG1;XCL1;VSIR;SLC4A2;LGALS9C;NDFIP1;ITCH;CBLB;TNFRSF14,16,,,,
GOBP,GO:2000515,T cell,GOBP_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,,RC3H1;LGALS9B;CD274;TBX21;ANXA1;HLX;HMGB1;IL2;IL4;IL4R;JAK3;ARG2;LGALS9;SMAD7;TARM1;FOXP3;ZBTB7B;RC3H2;TWSG1;BCL6;XCL1;VSIR;LGALS9C;TNFSF4;ZC3H12A;NDFIP1;ITCH;LOXL3;RUNX1;RUNX3;CBFB;CBLB;TNFSF18;SOCS5,34,,,,
GOBP,GO:0043371,T cell,GOBP_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,,RC3H1;TBX21;ANXA1;HLX;HMGB1;IL2;IL4;IL4R;JAK3;SMAD7;FOXP3;ZBTB7B;RC3H2;BCL6;TNFSF4;ZC3H12A;LOXL3;RUNX1;RUNX3;CBFB;TNFSF18;SOCS5,22,,,,
GOBP,GO:2000562,T cell,GOBP_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION,,LGALS9B;CD274;ARG2;LGALS9;FOXP3;TWSG1;XCL1;VSIR;LGALS9C;NDFIP1;ITCH;CBLB,12,,,,
GOBP,GO:2001186,T cell,GOBP_NEGATIVE_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,,LILRB1;CD274;HFE;ZBTB7B;VSIR;SLC4A2;SOCS1,7,,,,
GOBP,GO:0033087,T cell,GOBP_NEGATIVE_REGULATION_OF_IMMATURE_T_CELL_PROLIFERATION,,ERBB2;TMEM131L;CLEC4G;IHH;BMP4,5,,,,
GOBP,GO:0045590,T cell,GOBP_NEGATIVE_REGULATION_OF_REGULATORY_T_CELL_DIFFERENTIATION,,CTLA4;IRF1;LAG3;MIR21;MIR30B;MDK;TNFSF4,7,,,,
GOBP,GO:0070233,T cell,GOBP_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS,,ADA;PTCRA;TSC22D3;EFNA1;KIFAP3;HIF1A;IL7R;IDO1;JAK3;ARG2;PIP;PRKCQ;GPAM;SLC46A2;RAG1;BCL2;BCL3;CCL5;ST3GAL1;BCL11B;BMP4;DOCK8;FADD;CD27,24,,,,
